№ ВД	1.К-сть одержаних бюлетенів	2.К-сть виборців, внесених до списку	3.К-сть виборців, внесених до витягу для голос. за місцем перебув.	4.К-сть невикор. бюлетенів	5.К-сть виборців, які отримали бюлетені у приміщ.	6.К-сть виборців, які отримали бюлетені за місцем перебув.	7.Загальна к-сть виборців, які отримали бюлетені	8.К-сть бюлетенів, що не підлягають врахуванню	9.К-сть виборців, які взяли участь у голосуванні	10.К-сть бюлетенів, визнаних недійсними	ЗеленськийВолодимир	ПорошенкоПетро	Дата та час протоколу	oblast	tvo
050130	1696	1694	103	602	1004	90	1094	0	1094	16	579	499	22.04.2019 00:30	Вінницька область	11
050131	2128	2095	15	822	1295	11	1306	0	1306	28	751	527	22.04.2019 00:20	Вінницька область	11
050132	1296	1281	4	484	808	4	812	0	812	14	471	327	22.04.2019 01:15	Вінницька область	11
050133	2448	2422	14	933	1504	11	1515	0	1515	37	769	709	22.04.2019 01:30	Вінницька область	11
050134	240	222	0	108	132	0	132	0	132	0	77	55	21.04.2019 22:10	Вінницька область	11
050135	2432	2414	27	826	1586	20	1606	0	1606	43	844	719	22.04.2019 00:20	Вінницька область	11
050137	1680	1647	24	610	1046	24	1070	0	1070	22	587	461	22.04.2019 00:30	Вінницька область	11
050145	480	458	2	150	329	1	330	0	330	2	174	154	22.04.2019 01:40	Вінницька область	11
050149	384	373	16	127	241	16	257	0	257	9	149	99	22.04.2019 00:20	Вінницька область	11
050154	480	467	11	193	276	11	287	0	287	6	165	116	22.04.2019 00:15	Вінницька область	11
050155	688	679	36	204	451	33	484	0	484	13	235	236	22.04.2019 00:04	Вінницька область	11
050156	304	291	27	111	166	27	193	0	193	2	105	86	22.04.2019 00:20	Вінницька область	11
050161	400	386	19	139	244	17	261	0	261	4	143	114	22.04.2019 00:05	Вінницька область	11
050162	304	301	14	101	189	14	203	0	203	4	95	104	22.04.2019 00:10	Вінницька область	11
050164	1376	1355	32	470	878	28	906	0	906	16	470	420	22.04.2019 00:10	Вінницька область	11
050165	1792	1766	59	666	1080	46	1126	0	1126	30	541	555	22.04.2019 00:03	Вінницька область	11
050166	544	535	52	203	291	50	341	0	341	12	132	197	22.04.2019 00:30	Вінницька область	11
050167	752	745	12	329	411	12	423	0	423	10	228	185	22.04.2019 00:30	Вінницька область	11
050185	1952	1933	20	677	1256	19	1275	0	1275	33	773	469	22.04.2019 00:30	Вінницька область	11
050186	1136	1123	5	459	673	4	677	0	677	17	337	323	22.04.2019 00:45	Вінницька область	11
050187	144	132	1	49	95	0	95	0	95	0	51	44	22.04.2019 00:35	Вінницька область	11
050188	2512	2473	15	949	1552	11	1563	0	1563	23	836	704	22.04.2019 00:40	Вінницька область	11
050189	384	390	2	108	274	2	276	0	276	9	148	119	22.04.2019 00:01	Вінницька область	11
050190	479	160	45	384	62	33	95	0	95	4	54	37	21.04.2019 22:10	Вінницька область	11
050191	432	78	7	354	71	7	78	0	78	4	54	20	22.04.2019 00:25	Вінницька область	11
050192	1120	485	38	636	446	38	484	0	484	26	412	46	22.04.2019 00:02	Вінницька область	11
051477	2208	2163	12	782	1417	9	1426	0	1426	37	787	602	22.04.2019 00:15	Вінницька область	11
051478	2416	2398	18	829	1572	15	1587	0	1587	60	930	597	22.04.2019 00:05	Вінницька область	11
051479	2063	2018	10	867	1186	10	1196	0	1196	36	698	462	22.04.2019 02:15	Вінницька область	11
051480	1632	1609	7	603	1023	6	1029	0	1029	33	574	422	22.04.2019 00:10	Вінницька область	11
051481	1520	1522	12	466	1044	10	1054	0	1054	32	529	493	22.04.2019 00:10	Вінницька область	11
051482	2320	2391	8	737	1577	6	1583	0	1583	44	890	649	22.04.2019 00:50	Вінницька область	11
051483	2144	2112	20	695	1438	11	1449	0	1449	40	776	633	22.04.2019 00:50	Вінницька область	11
051484	2080	2046	9	667	1406	7	1413	0	1413	43	736	634	22.04.2019 00:30	Вінницька область	11
051485	2192	2166	5	685	1502	5	1507	0	1507	40	792	675	22.04.2019 02:10	Вінницька область	11
051486	1744	1719	4	536	1205	3	1208	0	1208	37	640	531	22.04.2019 00:55	Вінницька область	11
051487	1616	1617	2	465	1149	2	1151	0	1151	35	590	526	22.04.2019 00:30	Вінницька область	11
051489	1888	1877	14	705	1169	14	1183	0	1183	37	691	455	22.04.2019 01:20	Вінницька область	11
051490	1984	1972	9	754	1223	7	1230	0	1230	33	744	453	22.04.2019 00:27	Вінницька область	11
051491	1552	1530	2	542	1008	2	1010	0	1010	28	546	435	22.04.2019 00:15	Вінницька область	11
051492	2032	2024	20	707	1308	17	1325	0	1325	44	719	562	22.04.2019 00:15	Вінницька область	11
051493	2032	2013	17	717	1302	13	1315	0	1315	32	785	498	22.04.2019 00:30	Вінницька область	11
051494	1904	1885	20	691	1193	20	1213	0	1213	24	698	491	22.04.2019 00:20	Вінницька область	11
051495	224	214	35	38	156	30	186	0	186	17	96	73	22.04.2019 00:35	Вінницька область	11
051496	1664	1649	5	554	1107	3	1110	0	1110	39	633	438	22.04.2019 00:40	Вінницька область	11
051499	1792	1772	7	627	1158	7	1165	0	1165	27	625	513	22.04.2019 00:45	Вінницька область	11
051500	2144	2115	12	704	1430	10	1440	0	1440	56	793	591	22.04.2019 00:35	Вінницька область	11
051501	2080	2057	12	728	1345	7	1352	0	1352	35	697	620	22.04.2019 05:40	Вінницька область	11
051502	2288	2278	8	712	1568	8	1576	0	1576	36	848	691	22.04.2019 01:00	Вінницька область	11
051503	2416	2390	3	726	1688	2	1690	0	1690	37	894	759	22.04.2019 00:40	Вінницька область	11
051504	2032	2002	10	775	1250	7	1257	0	1257	34	828	395	22.04.2019 00:21	Вінницька область	11
051505	2032	2011	16	720	1300	12	1312	0	1312	39	804	469	22.04.2019 01:10	Вінницька область	11
051506	2304	2263	27	847	1434	23	1457	0	1457	26	857	574	22.04.2019 00:30	Вінницька область	11
051507	2288	2241	9	834	1445	9	1454	0	1454	49	779	626	22.04.2019 00:40	Вінницька область	11
051508	1888	1861	19	661	1212	15	1227	0	1227	38	698	491	22.04.2019 00:05	Вінницька область	11
051509	2016	1988	12	822	1184	10	1194	0	1194	35	695	464	22.04.2019 02:15	Вінницька область	11
051510	1872	1833	22	645	1212	15	1227	0	1227	37	671	519	22.04.2019 00:25	Вінницька область	11
051511	1952	1917	9	665	1280	7	1287	0	1287	32	677	578	22.04.2019 01:20	Вінницька область	11
051512	2080	2064	8	681	1395	4	1399	0	1399	45	710	644	22.04.2019 00:20	Вінницька область	11
051513	1968	1940	22	681	1267	20	1287	0	1287	45	685	557	22.04.2019 01:40	Вінницька область	11
051514	2000	1981	14	661	1328	11	1339	0	1339	43	793	503	22.04.2019 00:03	Вінницька область	11
051515	2000	1979	20	668	1318	14	1332	0	1332	48	745	539	22.04.2019 00:08	Вінницька область	11
051516	1872	1851	21	706	1148	18	1166	0	1166	38	682	446	22.04.2019 00:15	Вінницька область	11
051517	1984	1962	14	652	1318	14	1332	0	1332	49	754	529	22.04.2019 00:05	Вінницька область	11
051518	2142	2124	6	638	1498	6	1504	0	1504	49	821	634	22.04.2019 00:20	Вінницька область	11
051519	2146	2113	5	763	1379	4	1383	0	1383	31	748	604	22.04.2019 00:50	Вінницька область	11
051520	2256	2231	8	895	1356	5	1361	0	1361	39	735	587	22.04.2019 00:30	Вінницька область	11
051521	1856	1914	6	690	1162	4	1166	0	1166	40	647	479	22.04.2019 00:30	Вінницька область	11
051522	1824	1821	10	571	1248	5	1253	0	1253	34	640	579	22.04.2019 00:50	Вінницька область	11
051523	1872	1927	9	548	1316	8	1324	0	1324	36	753	535	22.04.2019 00:05	Вінницька область	11
051524	1488	1513	24	484	983	21	1004	0	1004	34	532	438	22.04.2019 00:51	Вінницька область	11
051525	1056	1036	0	387	669	0	669	0	669	22	360	287	22.04.2019 00:10	Вінницька область	11
051526	1872	1872	9	598	1266	8	1274	0	1274	48	705	521	22.04.2019 01:07	Вінницька область	11
051527	2080	2063	4	730	1346	4	1350	0	1350	45	765	540	22.04.2019 00:10	Вінницька область	11
051528	1952	1935	12	684	1256	12	1268	0	1268	45	734	489	22.04.2019 00:30	Вінницька область	11
051529	1968	1970	8	804	1156	8	1164	0	1164	37	674	453	22.04.2019 00:45	Вінницька область	11
051530	2544	2527	9	818	1723	3	1726	0	1726	40	916	770	22.04.2019 00:40	Вінницька область	11
051531	1600	1586	10	625	968	7	975	0	975	26	573	376	22.04.2019 00:05	Вінницька область	11
051532	2144	2119	11	753	1386	5	1391	0	1391	36	767	588	22.04.2019 01:05	Вінницька область	11
051533	2176	2135	10	735	1433	8	1441	0	1441	36	805	600	22.04.2019 01:30	Вінницька область	11
051534	2336	2346	17	771	1552	13	1565	0	1565	49	823	693	22.04.2019 00:24	Вінницька область	11
051535	1696	1667	7	600	1090	6	1096	0	1096	34	655	407	22.04.2019 01:30	Вінницька область	11
051536	2080	2043	7	677	1398	5	1403	0	1403	53	777	573	22.04.2019 01:10	Вінницька область	11
051537	1344	1364	0	452	892	0	892	0	892	15	597	280	22.04.2019 00:30	Вінницька область	11
051538	2128	2118	23	721	1385	22	1407	0	1407	47	813	547	22.04.2019 01:30	Вінницька область	11
051539	1504	1486	14	454	1037	13	1050	0	1050	61	585	404	22.04.2019 00:05	Вінницька область	11
051540	2080	2083	13	681	1386	13	1399	0	1399	40	774	584	22.04.2019 00:05	Вінницька область	11
051541	1824	1823	9	673	1143	8	1151	0	1151	43	690	418	22.04.2019 01:30	Вінницька область	11
051542	1728	1711	10	658	1063	7	1070	0	1070	21	616	433	22.04.2019 00:15	Вінницька область	11
051543	2000	1996	10	766	1226	8	1234	0	1234	33	735	466	22.04.2019 08:10	Вінницька область	11
051544	2032	2019	6	699	1327	6	1333	0	1333	51	749	533	22.04.2019 00:38	Вінницька область	11
051545	2800	2764	4	863	1933	4	1937	0	1937	32	1012	893	22.04.2019 00:15	Вінницька область	11
051546	2144	2090	3	890	1251	3	1254	0	1254	46	799	409	22.04.2019 00:49	Вінницька область	11
051547	2016	2009	40	664	1312	40	1352	0	1352	36	861	455	22.04.2019 02:15	Вінницька область	11
051575	128	39	19	89	21	18	39	0	39	2	23	14	22.04.2019 00:04	Вінницька область	11
051576	336	51	20	287	33	16	49	0	49	1	32	16	22.04.2019 08:00	Вінницька область	11
051577	96	63	0	34	62	0	62	0	62	4	43	15	22.04.2019 00:10	Вінницька область	11
051578	272	44	7	229	37	6	43	0	43	1	25	17	22.04.2019 00:03	Вінницька область	11
051579	384	134	76	252	58	74	132	0	132	1	63	68	22.04.2019 08:10	Вінницька область	11
051580	464	56	0	422	42	0	42	0	42	1	31	10	22.04.2019 00:06	Вінницька область	11
051581	1040	503	73	616	366	58	424	0	424	37	241	146	21.04.2019 23:40	Вінницька область	11
051582	240	94	12	152	78	10	88	0	88	0	47	41	22.04.2019 00:10	Вінницька область	11
051583	144	33	0	112	32	0	32	0	32	0	23	9	22.04.2019 00:20	Вінницька область	11
051584	736	196	153	555	41	140	181	0	181	6	111	64	22.04.2019 00:05	Вінницька область	11
051585	128	12	0	116	12	0	12	0	12	0	6	6	22.04.2019 00:05	Вінницька область	11
051586	64	20	1	45	18	1	19	0	19	0	11	8	22.04.2019 00:05	Вінницька область	11
051669	2368	2379	3	718	1649	1	1650	0	1650	46	832	772	22.04.2019 00:30	Вінницька область	11
051671	320	43	13	277	30	13	43	0	43	0	28	15	22.04.2019 00:20	Вінницька область	11
051672	128	67	35	64	29	35	64	0	64	3	40	21	22.04.2019 09:10	Вінницька область	11
051673	2016	1980	5	776	1235	5	1240	0	1240	25	722	493	22.04.2019 00:16	Вінницька область	11
051675	352	348	1	107	245	0	245	0	245	5	128	112	22.04.2019 00:05	Вінницька область	11
000001	720	720	11	6	703	11	714	0	714	60	574	80	22.04.2019 00:30	Вінницька область	12
050125	704	698	24	287	397	20	417	0	417	24	267	126	22.04.2019 00:15	Вінницька область	12
050126	2000	1971	175	704	1122	174	1296	0	1296	34	689	573	22.04.2019 10:15	Вінницька область	12
050127	1264	1245	33	462	769	33	802	0	802	15	491	296	22.04.2019 00:30	Вінницька область	12
050128	976	976	12	365	599	12	611	0	611	16	396	199	22.04.2019 00:50	Вінницька область	12
050129	1040	1031	5	340	695	5	700	0	700	8	351	341	22.04.2019 00:10	Вінницька область	12
050138	688	679	65	206	419	63	482	0	482	8	222	252	22.04.2019 00:20	Вінницька область	12
050139	2400	2371	35	931	1437	32	1469	0	1469	32	859	578	22.04.2019 00:15	Вінницька область	12
050140	2160	2127	33	786	1344	30	1374	0	1374	38	783	553	22.04.2019 00:02	Вінницька область	12
050141	2544	2518	16	1001	1531	12	1543	0	1543	34	839	670	22.04.2019 12:00	Вінницька область	12
050142	1376	1360	108	369	899	108	1007	0	1007	15	456	536	22.04.2019 00:05	Вінницька область	12
050143	608	593	20	187	405	16	421	0	421	4	269	148	22.04.2019 00:10	Вінницька область	12
050146	400	396	48	130	225	45	270	0	270	2	161	107	22.04.2019 00:15	Вінницька область	12
050147	480	474	25	183	274	23	297	0	297	10	142	145	22.04.2019 00:05	Вінницька область	12
050148	160	152	11	65	86	9	95	0	95	0	47	48	21.04.2019 21:30	Вінницька область	12
050150	432	426	14	150	271	11	282	0	282	8	164	110	22.04.2019 00:10	Вінницька область	12
050151	224	209	10	77	138	9	147	0	147	4	78	65	22.04.2019 00:10	Вінницька область	12
050152	880	875	60	327	506	47	553	0	553	7	331	215	22.04.2019 00:18	Вінницька область	12
050153	560	550	20	189	358	13	371	0	371	7	207	157	22.04.2019 00:05	Вінницька область	12
050157	1744	1731	44	622	1084	38	1122	0	1122	17	681	424	21.04.2019 23:25	Вінницька область	12
050158	1728	1706	53	724	968	36	1004	0	1004	28	543	433	22.04.2019 00:20	Вінницька область	12
050159	304	301	32	109	165	30	195	0	195	7	124	64	22.04.2019 00:15	Вінницька область	12
050160	544	539	20	197	328	19	347	0	347	6	175	166	22.04.2019 00:14	Вінницька область	12
050163	1280	1257	92	410	784	86	870	0	870	19	441	410	22.04.2019 00:05	Вінницька область	12
050168	480	468	38	172	275	33	308	0	308	2	191	115	22.04.2019 00:15	Вінницька область	12
050169	320	303	7	141	172	7	179	0	179	2	109	68	22.04.2019 00:15	Вінницька область	12
050170	416	405	12	165	239	12	251	0	251	8	144	99	22.04.2019 00:10	Вінницька область	12
050171	400	389	17	137	246	17	263	0	263	6	153	104	22.04.2019 00:05	Вінницька область	12
050172	960	953	65	321	579	60	639	0	639	11	383	245	22.04.2019 00:20	Вінницька область	12
050173	1200	1196	35	390	775	35	810	0	810	15	505	290	22.04.2019 00:05	Вінницька область	12
050174	1120	1104	44	406	674	40	714	0	714	16	391	307	22.04.2019 00:03	Вінницька область	12
050175	528	534	30	124	375	29	404	0	404	7	200	197	22.04.2019 00:21	Вінницька область	12
050176	240	236	7	47	186	7	193	0	193	6	102	85	22.04.2019 00:15	Вінницька область	12
050177	656	646	16	242	402	12	414	0	414	7	231	176	22.04.2019 00:15	Вінницька область	12
050178	400	393	34	112	255	33	288	0	288	2	157	129	22.04.2019 00:06	Вінницька область	12
050179	304	291	17	133	156	15	171	0	171	5	119	47	22.04.2019 00:02	Вінницька область	12
050180	976	967	48	379	555	42	597	0	597	17	406	174	22.04.2019 00:02	Вінницька область	12
050181	1872	1851	74	730	1071	71	1142	0	1142	7	667	468	22.04.2019 00:40	Вінницька область	12
050182	1088	1064	52	374	665	49	714	0	714	14	419	281	22.04.2019 12:15	Вінницька область	12
050183	880	863	69	336	488	56	544	0	544	11	320	213	22.04.2019 00:45	Вінницька область	12
050184	496	481	30	178	291	27	318	0	318	14	188	116	21.04.2019 21:50	Вінницька область	12
051435	1664	1665	8	563	1094	7	1101	0	1101	30	646	425	22.04.2019 00:05	Вінницька область	12
051436	2288	2252	8	820	1462	6	1468	0	1468	50	860	558	22.04.2019 00:30	Вінницька область	12
051437	2096	2064	15	721	1364	11	1375	0	1375	47	773	555	22.04.2019 00:40	Вінницька область	12
051438	1840	1817	10	660	1171	9	1180	0	1180	37	608	535	22.04.2019 01:05	Вінницька область	12
051439	2016	2005	16	667	1338	11	1349	0	1349	35	767	547	22.04.2019 00:20	Вінницька область	12
051440	2208	2179	11	853	1346	9	1355	0	1355	41	750	564	22.04.2019 01:05	Вінницька область	12
051441	1904	1898	21	666	1223	15	1238	0	1238	45	722	471	22.04.2019 01:35	Вінницька область	12
051442	1792	1774	10	631	1151	10	1161	0	1161	36	687	438	22.04.2019 10:50	Вінницька область	12
051443	1344	1356	4	449	891	4	895	0	895	17	476	402	22.04.2019 00:15	Вінницька область	12
051444	2032	2033	25	748	1264	20	1284	0	1284	49	712	523	22.04.2019 01:10	Вінницька область	12
051445	1760	1703	1	725	1034	1	1035	0	1035	28	518	489	22.04.2019 00:15	Вінницька область	12
051446	1936	1907	19	632	1288	16	1304	0	1304	33	751	520	22.04.2019 00:15	Вінницька область	12
051447	2224	2193	9	1006	1209	9	1218	0	1218	34	687	497	22.04.2019 00:40	Вінницька область	12
051448	1936	1921	5	735	1197	4	1201	0	1201	39	666	496	22.04.2019 00:45	Вінницька область	12
051449	2112	2085	8	919	1185	8	1193	0	1193	25	659	509	22.04.2019 00:17	Вінницька область	12
051450	2208	2193	9	811	1390	7	1397	0	1397	53	783	561	22.04.2019 01:20	Вінницька область	12
051451	2240	2217	15	779	1447	14	1461	0	1461	45	750	666	22.04.2019 00:30	Вінницька область	12
051452	2080	2031	3	732	1345	3	1348	0	1348	33	622	693	22.04.2019 00:20	Вінницька область	12
051453	2128	2104	22	851	1260	17	1277	0	1277	29	750	498	22.04.2019 00:10	Вінницька область	12
051454	2080	2050	7	847	1226	7	1233	0	1233	28	751	454	22.04.2019 01:00	Вінницька область	12
051455	1664	1653	14	602	1051	11	1062	0	1062	38	592	432	22.04.2019 00:32	Вінницька область	12
051456	2352	2333	15	887	1454	11	1465	0	1465	47	803	615	22.04.2019 00:03	Вінницька область	12
051457	2448	2464	13	905	1533	10	1543	0	1543	52	860	631	22.04.2019 00:10	Вінницька область	12
051458	2176	2158	13	758	1409	9	1418	0	1418	41	860	517	22.04.2019 00:50	Вінницька область	12
051459	2192	2163	7	1054	1131	7	1138	0	1138	23	639	476	22.04.2019 00:20	Вінницька область	12
051460	2288	2276	15	879	1399	10	1409	0	1409	42	778	589	22.04.2019 00:45	Вінницька область	12
051461	2176	2122	6	938	1233	5	1238	0	1238	30	679	529	22.04.2019 07:15	Вінницька область	12
051462	2112	2078	3	909	1200	3	1203	0	1203	29	632	542	22.04.2019 01:05	Вінницька область	12
051463	1568	1555	6	602	961	5	966	0	966	26	520	420	22.04.2019 00:10	Вінницька область	12
051464	832	827	2	346	484	2	486	0	486	12	271	203	22.04.2019 00:10	Вінницька область	12
051465	2400	2367	11	907	1485	8	1493	0	1493	55	886	552	22.04.2019 01:40	Вінницька область	12
051466	2144	2099	14	793	1342	9	1351	0	1351	44	734	573	22.04.2019 01:30	Вінницька область	12
051467	1888	1858	11	725	1156	7	1163	0	1163	41	694	428	22.04.2019 01:30	Вінницька область	12
051468	1680	1650	5	632	1045	3	1048	0	1048	28	543	477	22.04.2019 00:40	Вінницька область	12
051469	2352	2308	4	838	1510	4	1514	0	1514	33	831	650	22.04.2019 00:10	Вінницька область	12
051470	2352	2276	4	944	1404	4	1408	0	1408	36	735	637	22.04.2019 00:10	Вінницька область	12
051471	2368	2350	15	894	1465	9	1474	0	1474	32	902	540	22.04.2019 03:01	Вінницька область	12
051472	2144	2105	10	900	1236	8	1244	0	1244	43	699	502	22.04.2019 00:12	Вінницька область	12
051473	2160	2119	9	903	1250	7	1257	0	1257	23	760	474	22.04.2019 14:15	Вінницька область	12
051474	2000	1986	14	729	1264	7	1271	0	1271	38	756	477	22.04.2019 00:50	Вінницька область	12
051475	1872	1849	11	710	1158	4	1162	0	1162	28	675	459	22.04.2019 00:25	Вінницька область	12
051476	2112	2093	13	707	1400	5	1405	0	1405	46	820	539	22.04.2019 00:10	Вінницька область	12
051548	2400	2381	14	948	1443	9	1452	0	1452	39	856	557	21.04.2019 22:31	Вінницька область	12
051549	2144	2106	17	788	1342	14	1356	0	1356	45	781	530	22.04.2019 00:15	Вінницька область	12
051550	2080	2049	13	902	1166	12	1178	0	1178	38	664	476	22.04.2019 01:00	Вінницька область	12
051551	2448	2419	19	984	1450	14	1464	0	1464	48	826	590	22.04.2019 00:30	Вінницька область	12
051552	1904	1873	7	722	1178	4	1182	0	1182	51	609	522	22.04.2019 00:10	Вінницька область	12
051553	2336	2316	16	907	1418	11	1429	0	1429	43	837	549	22.04.2019 00:20	Вінницька область	12
051554	2048	2034	15	743	1294	11	1305	0	1305	36	770	499	22.04.2019 00:40	Вінницька область	12
051555	2480	2450	11	989	1484	7	1491	0	1491	39	854	598	22.04.2019 02:30	Вінницька область	12
051556	2016	2001	6	773	1239	4	1243	0	1243	40	664	539	22.04.2019 01:20	Вінницька область	12
051557	2368	2332	11	985	1373	10	1383	0	1383	26	799	558	22.04.2019 01:50	Вінницька область	12
051558	2207	2189	13	869	1329	9	1338	0	1338	27	825	486	22.04.2019 00:10	Вінницька область	12
051559	2112	2070	8	768	1338	6	1344	0	1344	36	737	571	22.04.2019 00:30	Вінницька область	12
051560	2208	2184	25	873	1314	21	1335	0	1335	30	798	507	22.04.2019 01:22	Вінницька область	12
051561	2096	2082	12	753	1334	9	1343	0	1343	42	777	524	22.04.2019 00:05	Вінницька область	12
051562	2624	2537	17	1110	1497	17	1514	0	1514	40	850	624	22.04.2019 00:01	Вінницька область	12
051563	2352	2320	7	960	1387	5	1392	0	1392	34	781	577	22.04.2019 00:20	Вінницька область	12
051565	2304	2264	19	968	1320	16	1336	0	1336	40	730	566	22.04.2019 00:56	Вінницька область	12
051566	1712	1700	16	605	1094	13	1107	0	1107	35	611	461	22.04.2019 00:07	Вінницька область	12
051567	2320	2289	6	881	1433	6	1439	0	1439	41	795	603	22.04.2019 00:10	Вінницька область	12
051568	2192	2175	14	807	1373	12	1385	0	1385	37	761	587	22.04.2019 00:10	Вінницька область	12
051569	2256	2193	8	908	1344	4	1348	0	1348	29	862	457	22.04.2019 00:40	Вінницька область	12
051571	2336	2298	7	891	1440	5	1445	0	1445	33	809	603	22.04.2019 00:30	Вінницька область	12
051572	336	159	65	200	88	48	136	0	136	2	93	41	22.04.2019 00:15	Вінницька область	12
051573	96	46	17	51	29	16	45	0	45	2	27	16	22.04.2019 00:05	Вінницька область	12
051574	96	13	1	83	12	1	13	0	13	0	8	5	22.04.2019 00:15	Вінницька область	12
051587	176	72	63	109	9	58	67	0	67	3	38	26	22.04.2019 00:10	Вінницька область	12
051588	208	16	0	192	16	0	16	0	16	0	9	7	22.04.2019 00:15	Вінницька область	12
051589	464	382	318	94	52	318	370	0	370	38	275	57	22.04.2019 00:40	Вінницька область	12
051590	848	452	0	427	421	0	421	0	421	10	356	55	22.04.2019 00:07	Вінницька область	12
051670	2128	2081	10	772	1349	7	1356	0	1356	40	782	534	22.04.2019 01:15	Вінницька область	12
051674	2368	2325	13	716	1640	12	1652	0	1652	55	950	647	22.04.2019 00:20	Вінницька область	12
050375	400	396	23	85	295	20	315	0	315	2	140	173	21.04.2019 20:35	Вінницька область	13
050376	384	374	33	137	217	30	247	0	247	2	127	118	21.04.2019 23:00	Вінницька область	13
050377	960	955	44	328	589	43	632	0	632	11	383	238	21.04.2019 21:40	Вінницька область	13
050378	48	42	7	14	28	6	34	0	34	0	26	8	21.04.2019 21:31	Вінницька область	13
050379	208	197	19	75	115	18	133	0	133	2	92	39	21.04.2019 21:10	Вінницька область	13
050380	560	551	33	182	345	33	378	0	378	10	278	90	22.04.2019 00:07	Вінницька область	13
050381	1696	1789	70	563	1072	61	1133	0	1133	34	514	585	22.04.2019 00:40	Вінницька область	13
050382	240	234	19	94	129	17	146	0	146	0	66	80	21.04.2019 21:43	Вінницька область	13
050383	624	607	64	191	372	61	433	0	433	7	218	208	21.04.2019 20:48	Вінницька область	13
050384	496	488	50	189	268	39	307	0	307	9	202	96	21.04.2019 21:22	Вінницька область	13
050385	400	389	36	114	256	30	286	0	286	9	96	181	21.04.2019 21:10	Вінницька область	13
050386	544	526	60	200	292	52	344	0	344	3	231	110	21.04.2019 20:45	Вінницька область	13
050387	1568	1548	50	708	810	50	860	0	860	16	530	314	21.04.2019 22:06	Вінницька область	13
050388	1664	1648	43	787	837	40	877	0	877	9	546	322	22.04.2019 00:14	Вінницька область	13
050389	544	534	42	226	280	38	318	0	318	7	171	140	21.04.2019 23:11	Вінницька область	13
050390	400	392	45	157	202	41	243	0	243	7	130	106	21.04.2019 23:50	Вінницька область	13
050391	320	296	21	127	173	20	193	0	193	1	105	87	22.04.2019 00:15	Вінницька область	13
050392	112	109	11	31	72	9	81	0	81	1	43	37	22.04.2019 00:05	Вінницька область	13
050393	2096	2065	40	925	1135	36	1171	0	1171	32	709	430	22.04.2019 02:10	Вінницька область	13
050394	464	457	8	177	280	7	287	0	287	7	189	91	22.04.2019 00:15	Вінницька область	13
050395	928	920	51	299	579	50	629	0	629	17	373	239	21.04.2019 21:20	Вінницька область	13
050396	480	475	31	156	300	24	324	0	324	5	173	146	21.04.2019 22:18	Вінницька область	13
050397	304	302	28	131	152	21	173	0	173	1	120	52	21.04.2019 21:00	Вінницька область	13
050398	448	437	24	168	256	24	280	0	280	5	188	87	21.04.2019 20:48	Вінницька область	13
050399	256	250	28	74	154	28	182	0	182	3	101	78	21.04.2019 22:17	Вінницька область	13
050400	240	246	38	50	153	37	190	0	190	3	111	76	21.04.2019 21:45	Вінницька область	13
050401	928	913	78	380	477	71	548	0	548	11	260	277	22.04.2019 00:15	Вінницька область	13
050402	544	535	86	197	271	76	347	0	347	2	211	134	21.04.2019 22:10	Вінницька область	13
050403	496	489	51	190	261	45	306	0	306	5	150	151	21.04.2019 20:50	Вінницька область	13
050404	112	112	14	32	68	12	80	0	80	1	39	40	21.04.2019 20:45	Вінницька область	13
050405	272	267	25	99	153	20	173	0	173	3	101	69	21.04.2019 21:50	Вінницька область	13
050406	176	165	14	55	109	12	121	0	121	0	72	49	21.04.2019 20:47	Вінницька область	13
050407	784	778	80	336	375	73	448	0	448	13	283	152	22.04.2019 00:01	Вінницька область	13
050408	768	744	100	177	493	98	591	0	591	9	354	228	22.04.2019 00:12	Вінницька область	13
050409	528	509	78	110	344	74	418	0	418	10	271	137	21.04.2019 20:30	Вінницька область	13
050410	320	304	48	76	204	40	244	0	244	1	156	87	21.04.2019 21:10	Вінницька область	13
050411	1504	1485	49	514	947	43	990	0	990	20	539	431	22.04.2019 01:15	Вінницька область	13
050412	1392	1367	45	557	798	37	835	0	835	13	448	374	21.04.2019 21:15	Вінницька область	13
050413	624	604	25	141	458	25	483	0	483	10	281	192	21.04.2019 21:30	Вінницька область	13
050414	832	824	53	313	472	47	519	0	519	8	343	168	21.04.2019 22:00	Вінницька область	13
050415	1504	1501	47	607	859	38	897	0	897	18	461	418	21.04.2019 22:35	Вінницька область	13
050416	656	628	23	292	346	18	364	0	364	8	267	89	21.04.2019 21:45	Вінницька область	13
050417	288	282	32	121	139	28	167	0	167	4	78	85	21.04.2019 22:30	Вінницька область	13
050418	208	199	9	90	111	7	118	0	118	3	72	43	22.04.2019 00:57	Вінницька область	13
050419	432	416	26	162	244	26	270	0	270	5	145	120	21.04.2019 21:20	Вінницька область	13
050420	240	237	21	92	131	17	148	0	148	1	80	67	21.04.2019 20:37	Вінницька область	13
050421	208	198	19	81	110	17	127	0	127	2	80	45	21.04.2019 20:40	Вінницька область	13
050422	1024	1019	64	355	613	56	669	0	669	18	400	251	22.04.2019 00:35	Вінницька область	13
050423	2240	2182	44	797	1400	43	1443	0	1443	22	910	511	21.04.2019 22:00	Вінницька область	13
050424	1840	1824	26	714	1108	18	1126	0	1126	40	637	449	22.04.2019 00:35	Вінницька область	13
